Tweet,Hate Speech
"NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Scoâ",0
Life is smile :),0
andrewspoooner: Scotland be warned - the SNP &amp; Sturgeon will re-run 1979 and let another Tory govt into power,0
i just realised i am a month clean and wow i think that's neat-o :(,0
"HueySilverFox: Mr Miliband, in Scotland we call that: ""cuttin' aff yer nose tae spite yer face""",0
Plaid would do Labour deal for Wales: Plaid Cymru leader Leanne Wood says she could do a deal to put Labour in power even if the SNP ...,0
"CraigWilliamWil: Milliband has made it clear @UKLabour does not care about Scotland now that we have turned away from LAB

He threatensâ",0
@Shenali_t sure will! :)),0
SamCoatesTimes: Why didn't Ed Miliband point out that the Tories matched Labour's pre-crash spending plans? Appears to have forgotten kâ,0
Askrigglad: Miliband's pledge to make Islamophobia a crime will be cheered by sex-grooming gangs in Rotherham and election-stealers in â,0
"LadyDurrant: Surging Sturgeon slaps down #Miliband: SNP leader vows to block a Labour budget if Ed does not make a deal with her.
http:â",0
Jason_Spacey: Nigel Farage is right when he says that Ukip supporters aren't closet racists. Most of the ones I've met are openly racisâ,0
U aint gettin a majorty vote miliband.. your advisors are fuckin u up here bruh,1
Stats for the day have arrived. 6 new followers and NO unfollowers :) via zWIln6s729.,0
"Watching This Week, it is clear that our Southern neighbours are not as clued up as in Scotland. But hey they have crap choices . #snp",1
@dezwog: Ed Miliband doesn't believe the last #Labour government overspent! #Shocking #GE2015 #bbcqt,0
stardust193: #AskNigelFarage #AskNigel #UKIP #AskFarage #bbcqt  UKIP have banned members of BNP and NF.  No other party has done that.,0
"EtonOldBoys: Mirror Poll Who came off best on Leaders' Question Time?#bbcqt
Ed Miliband - 71%
David Cameron - 25%
Nick Clegg - 4%  httpâ",0
"Also, went driving for an hour today, and on more main roads to the shops, and it went quite well :) thanks @ThatJessGirl92 ",0
"NursieDear25: @JimForScotland How is you lot threatening to fling your toys out of the pram so hard we end up with another Tory gov ""caâ",0
mrmarkmillar: 3 Tory MPs murder a child at a VIP abuse party &amp; no fuss. 1 million people sign a petition to save Jeremy Clarkson. Welcoâ,1
now @volume_control knows about my obsession with ed milliband,0
SolManOfficial: Labour will do a deal with SNP make no mistake! Scotland will rule the UK!,0
carrieapples: This sums up exactly why Ed Miliband lost tonight and must not win next Thursday #bbcqt ,0
@hazelcowan @Historywoman @NariceB @iainjwatson and she kids on that an SNP vote next year is a mandate for Indy#2 when it isn't.,0
why am I even awake :(,0
@johngemmell40 Really? Disgraceful. Shows how well the #SNP managed to rig the vote. @bernerlap,0
Plaid would do Labour deal for Wales: Plaid Cymru leader Leanne Wood says she could do a deal to put Labour in power even if the SNP ...,0
#ToriesTakeFromThePoorGiveToTheRich #ToriesMustGo #EdForChange #EdForPM ,0
"Some girls will say ""that means you wanted my man while I was with him"" but you didn't even know her or him back then :(",0
CCHQPress: Miliband has spent more time tonight asking people their names than he has explaining his plan for the country. He's #JustNoâ,0
VIDEO: Sturgeon on post-election deals BTJwrpbmOY,0
OwenJones84: David Cameronâ™s scaremongering and scapegoating meets its nemesis: facts #bbcqt,0
@rdicktracey so will you do same for 2010 onwards? &amp; will u apologise for Tory Wandsworth's unlawful council house sales policy in 1980s?,0
falklands_utd: RT for Cameron. Fav for Miliband. #leadersdebate #bbcqt,0
We love #Friday :),0
"@liansuryanii selamat sore,like model :)",0
"jackfostr: Wow, Labour's hatred of SNP knows no bounds.  Miliband would rather see a Tory govt than respect the democratic wishes of Scâ",0
"KevinJPringle: One of many bizarre things about @Ed_Miliband's anti-SNP stance is he doesn't reject deal with LibDems, who imposed austâ",0
STVNews: Sturgeon: 'It sounded as if Miliband was saying he'd rather see David Cameron back in power than work with the SNP.' http://t.â,0
"@Jenbag @dowsingforsound @camideasfest @ADFofficial @CambLiveTrust happy days, will get tkts too :)",0
HumzaYousaf: That sound you hear is the final nail hammered into New Labour coffin as Ed Miliband says he'd rather let Tories in than wâ,0
OwenJones84: Tories backed Labourâ™s spending pound for pound until the end of 2008. Remind them every time they trot out the lie of oveâ,0
"LordAshcroft: YouGov/Sun poll CON 34%, LAB 35%, LDEM 8%, UKIP 12%, GRNS 5%",0
WhyToVoteGreen: Audience once again a big disappointment to Farage. Big majority want to stay in EU. Cue #UKIP bleating about left-wingâ,0
Telegraph: Business owner savages Ed Milliband over 'no money left' joke MwNQtm2xt8,0
"paulwaugh: ICM found just 6% #bbcqt viewers changed their mind. Small sub sample but: Clegg won 32% of switchers, Cam 25% Ed 20% ",0
"IrvineWelsh: Miliband saying to Lab activists in Eng, 'if it's close (looks it could be) then we'll stand aside &amp; let Tories rule ratheâ",0
@CollagenShots Sadly not :( @Fighting_Fifty @AmazingPRltd @Janettaras @Gracefodor @NikkiTMB @rozhubley,0
"SirThomasWynne: * TONY ABBOTT &amp; DAVID CAMERON * 

TWINS!!! WHO KNEW? 

#worstGOVever 1eZxYPSRJE",0
"@NariceB remember trident is a red line for SNP, if labour won't get rid, she may decide not to let him govern",0
 always makes things better :),0
"my aff uname id jonginuh, feel free to add me :)",0
"mmaher70: Come clean over Â£12bn benefits cuts, Tories begged 5ETiCp31FB #wowcampaign #socialsecurity #bbcqt #torylies #poveâ",0
stewartbremner: The Oh-Dear Hunter is playing a foolhardy and dangerous game with a gun the Tories loaded. #GE2015,0
#Actualidad Ed Miliband: 'Prefiero no ser primer ministro a pactar con el SNP',0
